q0001  00:00.0-00:30.0  Девушки отдыхают
q0002  00:30.0-00:37.7  мистер Лафлам, и он сообщил, что видит здесь основание для иска,
q0003  00:38.1-00:42.0  в дополнение к ответственности тех кранча за последствия,
q0004  00:42.2-00:47.7  вплоть до упущенной выгоды пеговодудочника, потенциально достигающей миллиардов долларов.
q0005  00:48.1-00:52.1  Он хочет вписать меня лично в ответчики.
q0006  00:52.9-00:59.6  Так что я предлагаю вам закрыть глаза на этот инцидент, говоря юридически,
q0007  00:59.6-01:04.5  отправив бегово-дуточника прямиком в финал битвы стартапов,
q0008  01:04.7-01:07.1  где вы поборетесь за главный приз.
q0009  01:08.0-01:08.8  Как вам такое?
q0010  01:09.4-01:14.5  Думаю, это один вопросик по поводу нашего проживания.
q0011  01:21.5-01:23.4  Баба! Ну как вам?
q0012  01:23.4-01:29.5  Я и так обрадовался, что тебе набили морду, но...
q0013  01:29.5-01:31.0  Теперь я мега счастлив.
q0014  01:31.5-01:32.5  Двойной приз.
q0015  01:33.0-01:34.6  Пойду дезраптить тубзик.
q0016  01:37.1-01:38.8  По-моему, диваны не раскладываются.
q0017  01:39.1-01:40.3  Надо раскладушку попросить.
q0018  01:40.8-01:42.0  Располагайтесь, пацаны.
q0019  01:42.4-01:48.8  Пришлось трахнуть жену, получить морду, зато завтра мы уже в финале, не расплёскивая семя в отборе.
q0020  01:49.6-01:50.9  Мы идём в гору, народ.
q0021  01:51.0-01:52.0  Идём в гору.
q0022  01:52.0-01:56.5  Может, ты и прав, но предлагаю всё же спуститься и посмотреть на отбор.
q0023  01:57.3-01:59.6  Дамы и господа, Гевин Белсон!
q0024  02:03.1-02:07.0  Что бы там ни говорили, размер имеет значение.
q0025  02:07.5-02:10.9  Приглашаю вас в путешествие внутрь ядра.
q0026  02:11.2-02:12.1  Надеюсь, лажа.
q0027  02:12.4-02:17.7  Ядро — это самый обширный набор возможностей, когда-либо внедрённый в облачный пакет компрессии.
q0028  02:17.7-02:24.1  Мощная функциональность, тесная интеграция и простота, традиционные для семейства Хули.
q0029  02:24.6-02:30.8  Все ваши файлы доставляются с молниеносной скоростью, доступны с любых устройств.
q0030  02:31.3-02:39.5  Все эти возможности прозрачно внедряются в Хули-почту, Хули-поиск и во всю вычислительную мощь Хули.
q0031  02:39.9-02:41.3  А нахрен на себе возможности.
q0032  02:41.9-02:44.3  Не волнуйся, ему далеко до нашего коэффициента Вайсмена.
q0033  02:44.3-02:48.1  Даже со всей этой мишурой выйдет говно в красивой обёртке.
q0034  02:48.2-02:50.3  И вот он, момент истины.
q0035  02:50.9-02:56.5  Как вы увидите, наш коэффициент Вайсмана лучший в истории соревнований.
q0036  02:59.3-03:00.6  Ебать колотить?
q0037  03:00.9-03:02.6  Ровно столько же, сколько у нас.
q0038  03:02.8-03:04.2  2,89.
q0039  03:04.8-03:06.3  И ошибки здесь нет.
q0040  03:06.9-03:09.0  Это новое слово в технологии.
q0041  03:09.4-03:11.3  Работа на пределе компрессии.
q0042  03:11.3-03:15.2  без потерь аудио, видео и данных.
q0043  03:15.4-03:18.1  Каждый, кто скажет, что его платформа быстрее нашей,
q0044  03:18.8-03:20.1  пусть готовит адвокатов.
q0045  03:21.0-03:23.4  Надеюсь, вам понравилось путешествие в ядро.
q0046  03:23.7-03:26.3  У нас есть скорость, есть функционал,
q0047  03:27.1-03:29.2  и есть Шакира!
q0048  03:41.3-03:43.1  Кремниевая долина
q0049  04:11.3-04:17.7  не можем. Куда это годится? Ну и хуй с ним. Подумаешь, не жмём 3D файлы. Да в 3D вообще одно
q0050  04:17.7-04:23.7  говно выходит. Можно использовать как аргумент против Гевина. Лучше не надо. Завтра на публике
q0051  04:23.7-04:29.1  выкатим все наши козыри. Какие козыри? Он нас размазал. А пока будем делать то, что делают
