q0001  00:00.0-00:30.0  Девушки отдыхают
q0002  00:30.0-00:32.8  Да впизду вас.
q0003  00:37.8-00:39.8  Это потрясающее место.
q0004  00:40.5-00:41.8  Ебать этот гулибип.
q0005  00:42.2-00:46.8  Написали вшивую программульку, которая может быть, когда-нибудь стрельнет, а теперь живут здесь.
q0006  00:47.7-00:51.2  Кремниевая долина кишит баблом. Вот только к нам в руки оно не спешит.
q0007  00:51.8-00:52.9  Это что за хрень у тебя?
q0008  00:53.5-00:56.1  Жидкие креветки. 200 баксов за литр.
q0009  00:56.4-00:57.8  Вайли Дюфрейн придумал.
q0010  00:57.8-00:59.1  Ну и как оно?
q0011  01:00.0-01:02.8  Я думаю, у скермы вкус похожий.
q0012  01:03.6-01:04.9  Ну что, нехило, да?
q0013  01:05.5-01:11.2  Ибо вот, что бывает, когда Google выкупает твою компанию за 200 миллионов долларов.
q0014  01:11.4-01:18.3  Гляньте, Дастин Московец, Илон Маск, Эрик Шмидт, и этот, как его, блядь, который сделал Фаторио.
q0015  01:18.9-01:21.5  Кидрок среди них самый нищий.
q0016  01:22.1-01:23.1  Не считая вас.
q0017  01:23.6-01:27.9  Здесь 40 миллиардов долларов суммарного капитала пришли расслабиться.
q0018  01:27.9-01:31.8  А вы мнётесь в углу, пьёте креветки и рассуждаете о вкусе спермы.
q0019  01:32.2-01:33.5  Да, я слышал.
q0020  01:33.9-01:35.7  Вы живёте в моём инкубаторе.
q0021  01:35.8-01:38.4  Вперёд налаживать связи. За этим я вас сюда и притащил.
q0022  01:38.5-01:40.2  Я нас сюда притащил.
q0023  01:40.4-01:42.4  Джавид, вон там, мой бывший сосед.
q0024  01:42.6-01:42.9  Да.
q0025  01:43.5-01:45.4  Но привёз вас я...
q0026  01:45.4-01:46.4  Эрик Шмидт!
q0027  01:46.4-01:47.3  Эрик Бахман!
q0028  01:49.4-01:53.1  На таких тусовках парни с девками вечно сидят по разным углам.
q0029  01:53.4-01:57.0  Все праздники Кремниевой долины скатываются в подобие хасидской свадьбы.
q0030  01:57.0-01:59.4  Никто из Гулибип не общается с девками.
q0031  01:59.8-02:01.2  А им и не надо, Башка.
q0032  02:01.6-02:03.1  Тут дома разговаривают.
q0033  02:06.2-02:07.0  Привет!
q0034  02:09.1-02:11.5  У меня для вас семь слов.
q0035  02:12.8-02:19.5  Я люблю интегрированный мультиплатформенный функционал Гулибип.
q0036  02:19.8-02:20.0  Да!
q0037  02:23.2-02:25.2  Но, если серьезно,
q0038  02:25.2-02:29.6  Пару дней назад мы пришли к бараку Обаме
q0039  02:29.6-02:31.6  Я повернулся к пацанам и сказал
q0040  02:31.6-02:33.9  Знаете, нас ждет куча денег
q0041  02:33.9-02:36.4  И да, мы уничтожим цифровые носители
q0042  02:36.4-02:38.7  Но что еще важнее
q0043  02:38.7-02:41.8  Мы сделаем мир лучше
q0044  02:41.8-02:48.1  Создавая изящные иерархии для максимальной гибкости и масштабируемости кода
q0045  02:48.1-02:50.2  Поднимем бокалы
q0046  02:50.2-02:54.8  За все наши будущие вечеринки
q0047  02:54.8-02:59.6  Встречайте, мой добрый друг Кидрок!
q0048  03:00.2-03:01.7  Он же говно
q0049  03:01.7-03:09.7  Кремниевая долина
q0050  03:09.7-03:18.6  Башка, на сайте про синдром Аскергера есть личное объявление
q0051  03:18.6-03:23.6  Ё-моё, тут девка ищет отношений с потенциалом естественной сексуальной связи
q0052  03:23.6-03:25.1  Тотальный аутист.
q0053  03:25.8-03:27.9  Она даже от объектива отворачивается.
q0054  03:28.4-03:30.1  Ричард, можно тебя на секундочку?
q0055  03:30.3-03:31.0  Наедине.
q0056  03:34.0-03:38.1  Меня волнует твой пегий дудочник.
q0057  03:38.1-03:39.4  А что с ним?
q0058  03:39.9-03:42.3  Сайт крутится, я сжатие переписываю.
q0059  03:42.5-03:43.6  Вот посетителей мало.
q0060  03:43.8-03:45.2  Да уж, сгулькин хрен.
q0061  03:45.3-03:48.3  А если кто-то на него и зайдёт, то нихера не разберётся.
q0062  03:48.7-03:49.9  Там чёрт ногу сломит.
q0063  03:50.5-03:54.8  Ричард, ты обещал, что твой пегий дудочник станет гуглом музыки.
q0064  03:55.0-03:57.5  Вообще не кислая такая заява. Я купился.
q0065  03:57.6-03:59.3  Но ждал практического применения.
q0066  03:59.7-04:00.4  Ну, так и есть.
q0067  04:00.5-04:04.0  Когда он выстрелит, а он наберет критическую массу пользователей,
q0068  04:04.0-04:07.9  пегий дудочник сможет искать фрагменты песен по всей мировой фонотеке,
q0069  04:08.1-04:10.9  чтобы убедиться, что твоя музыка не нарушает ничьих прав.
q0070  04:11.2-04:12.7  И любой композитор или группа...
q0071  04:12.7-04:15.2  Так, во-первых, всем насрать на плагиатров, ясно?
q0072  04:15.7-04:19.0  В музыкальной индустрии все либо сами воруют, либо помогают.
q0073  04:19.0-04:21.3  Там сплошь мудаки, особенно Рэддио Хэт.
q0074  04:21.7-04:24.1  Так что, Ричард, да, они мудаки.
q0075  04:24.5-04:28.3  Так что, Ричард, если хочешь здесь жить, придётся вносить вклад.
q0076  04:28.8-04:31.1  Мне в инкубаторе мёртвый груз ни к чему, ясно?
q0077  04:31.7-04:34.5  Или результат, или, блядь, его перспектива.
q0078  04:35.0-04:36.8  Как соскорадар у башки.
q0079  04:37.3-04:40.1  Он ищет поблизости баб со стоящими сосками.
q0080  04:40.3-04:41.3  Вот что нужно людям.
q0081  04:41.9-04:44.1  Ричард, спустись уже с небес на землю.
q0082  04:44.5-04:47.7  Когда я продал свою компанию Авиата, я хотел идти дальше.
q0083  04:47.7-04:49.1  Вот зачем я вас собрал.
q0084  04:49.5-04:51.8  Создать нечто значимое, достичь вершин.
q0085  04:52.0-04:53.2  Ну, знаешь, как Стив.
q0086  04:54.9-04:56.1  Джобс или Возник?
q0087  04:58.4-04:59.9  Стив Джобс или Стив...
q0088  04:59.9-05:00.8  Я понял вопрос.
q0089  05:02.3-05:03.4  Так, который?
q0090  05:03.6-05:04.2  Джобс.
q0091  05:05.1-05:08.7  Джобс же выпендрёжник, он ни строчки кода не написал.
q0092  05:09.7-05:12.5  Ну, ни хрена у тебя самомненец.
q0093  05:13.0-05:13.5  Видишь?
q0094  05:13.9-05:14.9  Ну, технически...
q0095  05:14.9-05:15.8  Задрал нос.
q0096  05:15.9-05:17.4  Башка, я пошёл медитировать.
q0097  05:17.7-05:20.7  Он умел преподносить идеи, но за него все возник.
q0098  05:24.2-05:25.6  Что такое Хули?
q0099  05:26.4-05:27.5  Отличный вопрос.
q0100  05:28.0-05:30.2  Хули — это не просто хай-тек-компания.
q0101  05:30.6-05:32.6  Хули — это не просто программы.
q0102  05:32.9-05:35.4  Хули — это люди.
q0103  05:36.2-05:40.2  Хули — это инновационные технологии, которые бьют в яблочко,
q0104  05:40.2-05:42.4  изменяя привычный нам мир.
q0105  05:42.4-05:48.1  делают наш мир лучше путем минимизации транспортного уровня.
q0106  05:48.6-05:54.3  Я искренне верю, что ничьё величие не бывает без добродетели.
q0107  05:56.7-05:58.4  Олег меня выгонит.
q0108  05:59.0-06:00.8  А жильё тут мне не по карману.
q0109  06:01.2-06:01.8  Рихнуться.
q0110  06:02.0-06:03.4  Две восемьсот в месяц.
q0111  06:03.5-06:04.9  Четыре пятьсот в месяц.
q0112  06:04.9-06:05.9  На пять человек.
q0113  06:06.1-06:07.9  Ёлки, что ж так дорого-то?
q0114  06:08.5-06:10.8  Так, посмотришь, дыра дырой.
q0115  06:12.4-06:13.5  Опачки.
q0116  06:13.9-06:14.8  Еще одна.
q0117  06:15.4-06:18.8  Мисс Палуальто 2014. Встречайте.
q0118  06:22.4-06:26.0  Е-мое. У отдела маркетинга опять совещание на великах.
q0119  06:26.2-06:27.0  Чмошники.
q0120  06:27.9-06:30.4  Обычный день в секте Гэвина Беллсона.
q0121  06:32.4-06:34.8  Эй, слышал, что Питер Грегори надумал?
q0122  06:35.0-06:36.7  Ты про покупку острова в Тихом океане?
q0123  06:36.7-06:38.6  Нет, он его строит. С нуля.
q0124  06:39.1-06:39.7  Дорвался.
q0125  06:39.7-06:45.2  А ещё он даёт по сто тысяч тем, кто не идёт в колледж или бросит его ради собственной идеи.
q0126  06:45.8-06:49.1  Не знаю, что у него на уме, но колледжа он ненавидит.
q0127  06:49.6-06:51.8  Короче, он сегодня выступает на конференции.
q0128  06:52.2-06:52.9  Надо бы сходить.
q0129  06:53.4-06:54.4  Я бросил колледж.
q0130  06:54.8-06:56.8  Может, поступить заново и снова бросить?
q0131  06:57.0-06:57.6  И деньги мои.
