q0001  00:00.0-00:30.0  Девушки отдыхают
q0002  00:30.0-00:31.0  Вот с ним нож из багажника.
q0003  00:43.5-00:45.0  Дуайт, мы об этом говорили.
q0004  00:45.2-00:46.5  Нет, Тоби здесь другое.
q0005  00:47.2-00:48.1  Он уже мёртв.
q0006  00:48.9-00:51.4  Я один раз принёс утку, чтобы приготовить на обед.
q0007  00:51.9-00:53.3  И все расстроились.
q0008  00:54.9-00:58.3  Похоже, они привязались к утке, и не хотели смотреть, как её убивают.
q0009  00:58.8-00:59.4  Он же мёртв.
q0010  01:00.0-01:02.5  А мы, шруты, используем все части гуся.
q0011  01:02.9-01:05.3  У мяса прекрасный и богатый вкус с дымком.
q0012  01:05.9-01:08.7  Плюс можно взять топленый гусиный жир и поставить в холодильник.
q0013  01:09.0-01:11.4  Не придется ходить в магазин за дорогим гусиным жиром.
q0014  01:12.6-01:13.2  Выгодно.
q0015  01:13.7-01:14.7  Именно, спасибо, Джим.
q0016  01:14.9-01:16.8  Я люблю гуся, и он уже мертв.
q0017  01:16.9-01:18.3  Разве это плохо, что мы его съедим?
q0018  01:18.3-01:18.9  Это плохо.
q0019  01:19.3-01:19.7  Плохо.
q0020  01:20.8-01:22.7  Дуайт, ты не можешь хранить его здесь.
q0021  01:23.0-01:25.4  Ладно, это нелепо и противоречит духу Рождества.
q0022  01:27.2-01:28.0  Брось, Дуайт.
q0023  01:28.8-01:30.5  Мы полчаса это обсуждали.
q0024  01:31.7-01:33.1  Это же Рождество, Тоби.
q0025  01:34.3-01:37.3  Это мертвое животное в офисе, и ты не можешь?
q0026  01:40.1-01:41.4  Тоби, пожалуйста.
q0027  01:41.9-01:42.4  Пожалуйста.
q0028  01:46.7-01:47.9  Ощипывай в машине.
q0029  01:49.2-01:50.3  Ай, убери его со стойки.
q0030  01:51.3-01:53.1  Ой, Пэм, выдохни.
q0031  01:58.0-02:16.5  В ролях Стив Карл, Рейн Уилсон, Джон Красинский, Дженна Фишер и Би-Джей Новак.
q0032  02:23.5-02:24.8  Офис.
q0033  02:24.8-02:29.1  Зал украшен астралистом
q0034  02:29.1-02:32.5  Ла-ла-ла-ла-ла-ла-ла
q0035  02:32.5-02:35.9  Это...
q0036  02:35.9-02:37.4  Эй!
q0037  02:38.2-02:40.5  Я хотел бы...
q0038  02:40.5-02:43.1  Кусочек рождественской Пэм
q0039  02:43.1-02:45.0  Полное меню Пэмов
q0040  02:45.0-02:48.6  И, может быть, отбивную из Пэм
q0041  02:48.6-02:49.6  Могу я вам помочь, Мэр?
q0042  02:49.6-02:50.2  С мятой
q0043  02:50.2-02:53.6  Я ищу, где у нас тут подарки
q0044  02:53.6-02:54.4  Сзади вас
q0045  02:54.4-03:02.1  Отлично. Тогда я поставлю сюда этот велосипед. Надеюсь, будет хорошо смотреться среди этих безделушек.
q0046  03:02.3-03:04.6  Ого. Что это за велосипед?
q0047  03:04.8-03:07.1  Не знаю. Обычный.
q0048  03:07.5-03:09.2  Шины довольно потёртые.
q0049  03:09.5-03:11.3  Это из-за пробного заезда.
q0050  03:11.6-03:12.8  Там краска облупилась.
q0051  03:13.4-03:14.8  Это ваш старый велосипед, Майкл?
q0052  03:15.4-03:15.8  Нет.
q0053  03:16.3-03:18.2  Йо, Майкл, классно катаетесь, Майкл.
q0054  03:18.2-03:18.6  О, спасибо.
q0055  03:22.0-03:22.7  Да.
q0056  03:24.4-03:27.2  О, Пэм, это так мило.
q0057  03:28.2-03:29.3  Ты не обязана это делать.
q0058  03:29.4-03:30.7  Это не я, это отправление.
q0059  03:30.9-03:31.5  Ясно.
q0060  03:31.8-03:33.1  Все получили такие же?
q0061  03:33.2-03:33.4  Да.
q0062  03:35.0-03:35.5  Превосходно.
q0063  03:35.6-03:37.8  Хорошо, это будет самое лучшее Рождество.
q0064  03:37.8-03:42.9  Моя девушка Кэрол приедет к нам на праздник вечером, и у меня есть для неё сюрпризик.
q0065  03:43.8-03:47.2  У меня два билета в рай!
q0066  03:48.7-03:51.3  Собирайся, мы летаем завтра утром!
q0067  03:51.3-03:55.5  Я отвезу её в Сэндлсон и Майкл.
q0068  03:56.2-03:57.7  Всё включено, всё включено.
q0069  03:58.1-03:58.9  Понимаете, о чём я?
q0070  03:59.9-04:00.5  Верно?
q0071  04:01.2-04:01.6  Да.
q0072  04:01.6-04:01.6  Да.
q0073  04:10.2-04:12.2  Я думаю, что ты должен поставить шарик в баку, да?
q0074  04:12.4-04:13.5  И счастливый садик.
q0075  04:21.3-04:23.0  Привет. А Майкл здесь?
q0076  04:23.3-04:26.3  Вот и она, рождественская Кэрол. Привет.
q0077  04:27.4-04:30.9  Ты пришла на пять часов раньше праздника.
q0078  04:31.5-04:32.8  Ты такая блондинка.
q0079  04:33.8-04:34.5  Майкл.
q0080  04:34.9-04:38.7  Эй, слушайте все. Не знаю, кто из вас ещё не знаком,
q0081  04:39.2-04:42.4  но это случай представить. Это моя девушка Кэрол.
q0082  04:42.8-04:44.0  Так она выглядит спереди.
q0083  04:44.8-04:46.2  Покажи им другую сторону.
q0084  04:47.0-04:47.6  Что?
q0085  04:47.9-04:49.4  Повернись, повернись. Давай.
q0086  04:49.9-04:51.0  Иди в баню.
q0087  04:51.3-04:52.3  Сама иди в баню.
q0088  04:52.5-04:52.8  Да?
q0089  04:53.2-04:56.9  Майкл, я хотел сказать, что она даже лучше, чем вы её описывали.
q0090  04:57.1-05:02.0  Ой, ой, Майкл, не думаю, что в том, как вы её описали, было что-то не то.
q0091  05:02.3-05:02.6  Спасибо.
q0092  05:03.0-05:04.4  Мне нужна минутка наедине.
q0093  05:04.6-05:07.4  Не так, как мне нужна эта минутка наедине.
q0094  05:11.5-05:12.6  Что это такое?
q0095  05:13.8-05:15.8  Это моя рождественская открытка.
q0096  05:15.8-05:19.8  Это фото нас с тобой и твоих детей, как мы в горах катаемся на лыжах.
q0097  05:19.8-05:21.3  Привет от лыжного сезона.
q0098  05:21.5-05:24.2  Нет, мы никогда не ездили кататься на лыжах.
q0099  05:24.5-05:25.6  Знаю, я знаю.
q0100  05:25.6-05:26.8  Я была в этой поездке.
q0101  05:26.9-05:27.2  Верно.
q0102  05:27.3-05:29.6  Два года назад с детьми и бывшим мужем.
q0103  05:29.7-05:33.6  Да, но ты не понимала в то время, что я в каком-то смысле был с тобой.
q0104  05:33.8-05:35.5  Я был в твоем сердце.
q0105  05:36.0-05:36.5  Майкл.
q0106  05:36.6-05:38.0  И рядом с твоими детьми. Что?
q0107  05:38.1-05:40.0  Это очень странно.
q0108  05:40.9-05:41.7  Я не понимаю.
q0109  05:42.1-05:43.2  Это смелый шаг.
q0110  05:43.5-05:48.0  Подставлять себя в фотошопе на фото с твоей девушкой и ее детьми в поездке с их отцом.
q0111  05:48.0-05:52.0  С другой стороны, Майкл смелый парень.
q0112  05:52.6-05:53.7  Слово «смелый» подойдет?
q0113  05:54.0-05:55.8  Я думаю, что ты правда очень милый.
q0114  05:56.0-05:56.4  Хорошо.
q0115  05:56.8-06:03.0  Но я не знаю, как относиться к этому и к предложению.
q0116  06:03.3-06:05.9  Я не думаю, что у нас что-то получится.
q0117  06:06.8-06:08.8  Нет, нет, нет, нет, нет, нет.
q0118  06:09.1-06:10.5  Ладно, ладно.
q0119  06:11.8-06:12.5  Знаешь что?
q0120  06:13.5-06:14.5  Ты не все продумала.
q0121  06:14.9-06:15.9  Знаешь, что тебе нужно?
q0122  06:15.9-06:19.7  Тебе нужно обдумать это в крупнейшем бассейне Ямайки.
q0123  06:20.7-06:21.7  О чём ты говоришь?
q0124  06:22.1-06:26.0  У меня билеты для нас в Сэндлс Ямайка.
q0125  06:26.6-06:27.8  Мы уезжаем послезавтра.
q0126  06:28.2-06:30.8  Тебе надо найти самое маленькое бикини.
q0127  06:31.4-06:32.1  Крошечное.
q0128  06:32.6-06:33.1  Майкл.
q0129  06:33.2-06:34.1  И там всё включено.
q0130  06:34.9-06:35.5  Майкл.
q0131  06:35.7-06:36.1  Да.
q0132  06:37.2-06:37.9  Мне жаль.
q0133  06:40.1-06:43.1  Нет, Кэрол, ты выйдешь за дверь, и всё кончено.
q0134  06:43.4-06:44.1  Я знаю.
q0135  06:45.9-06:53.8  Джим?
q0136  07:01.6-07:02.3  Эй.
q0137  07:02.6-07:02.9  Эй.
q0138  07:03.4-07:07.7  Я хочу отдать твой подарок на Рождество сейчас, потому что...
q0139  07:07.7-07:08.8  Ну, сейчас расскажу.
q0140  07:09.2-07:09.5  Что?
q0141  07:10.7-07:14.6  Последние пару месяцев я посылала Дуайту письма из ЦРУ.
q0142  07:15.9-07:19.8  Да ты что?
q0143  07:20.2-07:22.2  Они хотят предложить ему важную миссию.
q0144  07:23.4-07:24.4  Это все его данные.
q0145  07:25.2-07:29.3  О, а здесь я попросила его написать все секреты, которые он обещал никогда не разглашать.
q0146  07:30.9-07:38.0  В прошлом году мой босс Майкл Скотт взял отгул и сказал, что у него пневмония, но на самом деле он уезжал в волшебный лагерь.
q0147  07:39.0-07:39.6  Ого!
q0148  07:39.9-07:41.3  Итак, вот подарок.
q0149  07:41.8-07:43.8  Ты можешь выбрать для него секретную миссию.
q0150  07:43.8-07:46.7  Прости, что без упаковки
q0151  07:46.7-07:51.0  Знаешь что?
q0152  07:52.5-07:55.5  Я не думаю, что мне стоит больше заниматься всем этим
q0153  07:55.5-07:59.0  Нет, не из-за повышения
q0154  07:59.0-07:59.6  О, да
q0155  07:59.6-08:00.5  Просто это немного
q0156  08:00.5-08:01.8  Нет, я поняла
q0157  08:01.8-08:03.1  Конечно
q0158  08:03.1-08:04.8  Ладно
q0159  08:13.8-08:17.9  Кажется, это мой шанс начать все с нуля.
q0160  08:18.9-08:25.0  И если я буду заниматься тем же, чем и раньше, то к чему это приведет?
q0161  08:30.3-08:32.1  Мне нужно всеобщее внимание.
q0162  08:33.6-08:34.9  Рождество отменяется.
q0163  08:35.2-08:36.8  Вы не можете отменить выходные.
q0164  08:37.0-08:39.2  Помолчи, Стэнли, а то и Нового года не будет.
q0165  08:39.3-08:39.9  Что это значит?
q0166  08:39.9-08:42.2  Джим, вычеркни новогодние праздники у Стэнли.
q0167  08:42.6-08:43.2  Что происходит?
q0168  08:43.8-08:49.7  Мы с Кэрол расстались
q0169  08:49.7-08:51.2  Полюбовно
q0170  08:51.2-08:55.3  И я не думаю, что это приемлемо
q0171  08:55.3-08:58.0  Праздновать при таких обстоятельствах
q0172  08:58.0-09:00.0  То есть Рудольфа не запрягаем?
