q0001  00:00.0-00:30.0  Девушки отдыхают
q0002  00:30.0-00:31.8  Уже больше недели ковыряюсь.
q0003  00:32.2-00:32.8  Надо же.
q0004  00:33.0-00:34.3  Я хороший программист.
q0005  00:34.4-00:35.7  В смысле, я больше ничего не умею.
q0006  00:35.8-00:37.8  В прошлом году я кинул фрисби и сломался без зуб.
q0007  00:38.0-00:39.5  Но этим занимаются дантисты.
q0008  00:39.8-00:40.7  Допустим, я...
q0009  00:40.7-00:43.9  Просто я в 17 лет за неделю выучил Рубион Рейлс.
q0010  00:44.2-00:45.8  Значит, и с облаком разберусь.
q0011  00:45.9-00:46.5  Просто обязан.
q0012  00:46.6-00:48.5  Позвольте, выражу своё профессиональное мнение.
q0013  00:48.6-00:49.2  Как ваш врач.
q0014  00:50.1-00:52.6  Зря вы не забрали 10 миллионов у Гевина Белсона.
q0015  00:52.8-00:53.2  Ясно?
q0016  00:53.9-00:55.5  Но, к сожалению, вас убьёт.
q0017  00:55.6-00:56.7  Так что не зацикливайтесь.
q0018  00:56.7-00:58.3  Но я предупреждал.
q0019  01:30.0-01:32.4  Я не буду в консистенции пару дней назад, и все ждут тебя.
q0020  01:32.6-01:33.6  Я разберусь.
q0021  01:33.9-01:35.9  Ричард, ты охуенная рок-звезда, ясно?
q0022  01:36.1-01:37.6  Просто ты не спец по облакам.
q0023  01:37.8-01:42.3  Этой мелкой, сраной ерунтовине, которая вдруг стала суперважной,
q0024  01:42.7-01:44.8  и метит в будущее вычислительной техники.
q0025  01:46.5-01:49.7  Я сказал что-то не то, но ты меня понял.
q0026  01:50.0-01:53.0  Я уже поговорил с Питером Грегори об инсорсинге консультанта.
q0027  01:53.4-01:57.7  Я связался с программистом, потрясающим специалистом по облачной архитектуре.
q0028  01:57.7-01:59.0  Его называют резчик.
q0029  01:59.4-01:59.8  Резчик?
q0030  02:00.0-02:05.2  Хакер, которому приписывают взлом Банков Америка и все их системы, это Трещик.
q0031  02:05.6-02:06.9  Он нам не помешает.
q0032  02:09.4-02:14.3  Ладно, мы с ним побеседуем, но ему придется меня убедить.
q0033  02:21.6-02:25.7  Полгода назад у них было 35 миллионов и перспективные инвестиции.
q0034  02:26.1-02:28.6  А теперь Трещик сворачивает работу.
q0035  02:29.0-02:31.2  Контора в буквальном смысле улетела в облака.
q0036  02:31.7-02:32.7  Ничего не трогай.
q0037  02:33.0-02:34.1  Невезуха заразна.
q0038  02:34.4-02:36.3  Надпись «Сделаем мир лучше».
q0039  02:36.3-02:39.8  Думаю, это он.
q0040  02:43.4-02:45.2  Простите, мистер Рещик?
q0041  02:48.5-02:52.8  Да, я известен как Рещик, но в жизни меня так не зовут.
q0042  02:52.8-02:54.2  Это называется Ник.
q0043  02:55.0-02:55.5  Ясно?
q0044  02:56.5-02:57.2  Я Кевин.
q0045  02:58.1-02:59.2  Ясно, Кевин.
q0046  02:59.3-03:00.5  Мы из Пегова Туточника.
q0047  03:00.8-03:01.7  Мы разговаривали.
q0048  03:02.0-03:03.3  Ага, вас накрыло пиздой, да?
q0049  03:03.5-03:04.4  Нет, не пиздой.
q0050  03:04.5-03:06.0  Да, огромный такой пиздой.
q0051  03:06.1-03:08.6  Нам через неделю показывают демку, а наше облако в жопе.
q0052  03:09.0-03:09.4  Именно.
q0053  03:09.5-03:10.6  Стоп, это ты, Ричард?
q0054  03:11.5-03:12.5  Да, это я.
q0055  03:12.7-03:15.3  У тебя солидный алгоритм.
q0056  03:15.8-03:17.1  Очень хорошая схема.
q0057  03:17.4-03:18.7  Ясно, спасибо.
q0058  03:19.1-03:20.4  Я правда думал, ты младше.
q0059  03:20.8-03:21.3  Сколько тебе?
q0060  03:21.6-03:22.1  25?
q0061  03:22.4-03:22.9  26.
q0062  03:24.1-03:24.5  Ой.
q0063  03:24.5-03:31.7  Так, в понедельник у меня модель ООН, но я постараюсь выделить вам выходные.
q0064  03:32.6-03:36.1  Ты думаешь управиться за два дня?
q0065  03:36.7-03:39.2  Я знаю, что управлюсь за два дня.
q0066  03:39.4-03:42.9  Накачаюсь энергетиками, печеньями и амфетамином и не усну, пока не закончу.
q0067  03:43.0-03:43.4  Ладно.
q0068  03:44.9-03:48.2  Хотя, знаете, меня зовут ВЫХОДНЫЙ на строить миграцию в Гитавонг.
q0069  03:48.6-03:49.5  Интересный проект.
q0070  03:50.2-03:51.8  Да и спецы у них покруче.
q0071  03:52.2-03:53.4  Стоп, что?
q0072  03:53.4-03:53.4  Что?
q0073  03:54.5-03:57.0  По-твоему, спецы у Гитавонг лучше нас?
q0074  03:57.2-04:02.8  Прости, я что-то не помню, чтобы в Панда Дейли писали, что Гевин Белсон и Питер Грэгри бьются за Гитавонг.
q0075  04:03.0-04:06.4  Никто не покупал Гитавонг за 10 миллионов.
q0076  04:06.5-04:08.8  Да, Ричард прав. Айда к нам.
q0077  04:09.1-04:10.1  Что? Нет.
q0078  04:10.4-04:11.9  Чё от нас надо? Отсосать?
q0079  04:12.3-04:14.4  Так Ричард тебя отсосёт с заглотом.
q0080  04:18.8-04:21.1  Ты меня насмешил, волосатик.
q0081  04:22.3-04:24.2  Идёт, я с вами. До встречи в пятницу.
q0082  04:24.5-04:29.0  Хорошо. Молодец.
q0083  04:29.4-04:29.7  Ага.
q0084  04:33.7-04:34.3  Простите.
q0085  04:35.2-04:39.7  Здрасте. Купите, пожалуйста, конфеты, чтобы наш церковный кружок смог поехать в лагерь.
q0086  04:40.1-04:40.6  Неа.
q0087  04:41.8-04:42.7  Эрлих, ты что?
q0088  04:42.9-04:46.3  Ставлю сотку, что нет никакой церкви. Эти мелкие жулики гонят.
q0089  04:46.5-04:47.7  Но это же детишки.
q0090  04:48.1-04:51.0  Похоже, Гелфилл со своей сатанисткой вернулись из аэропорта.
q0091  04:51.3-04:53.5  Представляю, какой коровы он подцепил.
q0092  04:53.9-04:56.0  Говорит, что в ней есть что-то от Эмми Вайнхаус.
q0093  04:56.1-04:56.8  Что это значит?
q0094  04:57.0-04:58.7  С ног до головы в татухах, что ли?
q0095  04:58.7-05:00.0  Сидит на общей контине?
q0096  05:00.5-05:01.0  Разлагается?
q0097  05:01.4-05:01.7  Ой.
q0098  05:02.2-05:03.8  Да, это я перегнул.
q0099  05:06.6-05:07.1  Господа.
q0100  05:08.4-05:09.3  Это Тара.
q0101  05:09.6-05:10.1  Привет.
q0102  05:10.3-05:13.6  Тара, это пацаны Джаред, Динэ, Шерлитч и Ричард.
q0103  05:13.8-05:14.5  Я Эрлих.
q0104  05:14.5-05:16.2  Очень приятно познакомиться.
q0105  05:18.0-05:18.4  Привет.
q0106  05:19.6-05:20.5  Ну всё.
q0107  05:23.5-05:26.3  Господи, где тут Эмми Уайнхаус?
q0108  05:26.8-05:29.5  Не будь Гилфейла, я бы с ней покувыркался.
q0109  05:30.8-05:32.5  Девушка в доме — это необычно.
q0110  05:32.9-05:34.3  Очень странная энергетика.
q0111  05:45.6-05:47.6  Здравствуй, Кевин.
q0112  05:48.6-05:51.8  Итак, Ричард, поставь подпись под гонораром Кевина.
q0113  05:52.2-05:54.8  Эрлих уже подписал, а ты поставь вон там.
q0114  05:55.7-05:57.9  20 тысяч долларов за два дня?
q0115  05:58.5-06:00.6  А знаешь, кто ещё решил, что я много прошу?
q0116  06:01.5-06:02.1  Битраптор.
q0117  06:02.6-06:02.8  Кто?
q0118  06:04.4-06:05.4  Вот именно.
q0119  06:07.3-06:09.8  Отлично. Питер Грегори сейчас не в городе.
q0120  06:09.8-06:15.0  Я сгоняю к нему, попрошу подписать и это, и чек, и мигом вернусь назад.
q0121  06:16.1-06:16.8  Спасибо.
q0122  06:19.8-06:21.2  У тебя всё в порядке?
q0123  06:21.2-06:22.3  Никаких вопросов?
q0124  06:22.6-06:24.5  Да, есть вопросик.
q0125  06:24.8-06:25.7  Класс, валяй.
q0126  06:27.3-06:29.7  Зачем ты так сильно сжимаешь губы, когда молчишь?
q0127  06:30.9-06:32.1  Они даже белеют.
q0128  06:33.7-06:34.8  Мне от этого не по себе.
q0129  06:47.2-06:48.2  Всем привет.
q0130  06:51.2-06:59.0  Эй, Кевин, а как ты взломал защиту Бэнк оф Америка?
q0131  06:59.0-07:00.7  Хочу подробностей.
q0132  07:26.5-07:27.8  Эй, солнце!
q0133  07:28.2-07:29.4  Ты встала?
q0134  07:32.9-07:41.1  Ладно, пойду душик приму.
q0135  07:41.1-07:46.0  Что это было?
q0136  07:47.5-07:48.1  Что?
q0137  07:48.7-07:51.8  Тара, что-то тебе шепнуло и странно на меня посмотрело.
q0138  07:52.7-07:53.6  Нет, не правда.
q0139  07:54.4-07:55.1  Да, правда.
q0140  08:02.9-08:08.0  Что такое?
q0141  08:08.9-08:10.4  Знаешь, что такое комперсия?
q0142  08:11.6-08:16.4  Это когда кому-то нравится, что его любимую удовлетворяет кто-то другой.
q0143  08:17.5-08:18.3  Сексуально.
q0144  08:19.1-08:20.6  Это антоним ревности.
q0145  08:20.9-08:22.6  А похоже на антоним нормальности.
q0146  08:23.1-08:24.5  И зачем ты мне это рассказываешь?
q0147  08:25.6-08:27.5  Как это ни странно,
q0148  08:29.5-08:31.5  ты понравился Таре.
q0149  08:32.9-08:35.5  Не понял?
q0150  08:36.2-08:37.5  Да, я тоже офигел.
q0151  08:38.6-08:39.1  Сначала.
q0152  08:39.9-08:42.5  Вот это сначала меня пугает.
q0153  08:42.9-08:43.9  К чему ты ведёшь?
q0154  08:44.1-08:47.0  Поскольку я верен, доктрине делай, что пожелаешь,
q0155  08:47.3-08:48.6  таков да будет весь закон,
q0156  08:49.5-08:51.5  хочешь трахнуть мою девушку, я не против.
q0157  08:51.7-08:55.3  Господи боже, да у меня от вида тебя в полотенце коленки трясутся.
q0158  08:55.3-08:56.9  Не пойду я с вами в групповушку.
