q0001  00:00.0-00:30.0  Девушки отдыхают
q0002  00:30.0-00:32.8  Ну, что скажешь?
q0003  00:33.3-00:35.8  По поводу Дженни.
q0004  00:36.8-00:37.5  Аппетитная, да?
q0005  00:37.9-00:40.7  Да, она симпатичная.
q0006  00:41.0-00:41.7  Точняк.
q0007  00:42.2-00:43.3  Стукнуть? Ну ладно.
q0008  00:45.6-00:49.0  Питер сказал, ты в этом деле целочка, так что я растолкую.
q0009  00:49.4-00:53.0  Ты подписываешься на конвертируемые финансовые обязательства
q0010  00:53.0-00:57.1  и объявляешь вас с Питером Грегори директорами пегового дудочника,
q0011  00:57.2-00:59.0  базирующегося в штате Делавер.
q0012  00:59.0-01:01.3  Ладно, а почему Делавер?
q0013  01:01.6-01:02.5  Рич, Рич.
q0014  01:03.4-01:04.0  Юрист?
q0015  01:04.3-01:05.2  Не юрист.
q0016  01:05.7-01:06.7  Моя работа.
q0017  01:07.5-01:11.9  Что ж, Питер Грегори, ваш большой фанат.
q0018  01:12.4-01:14.5  Он позвал вас на вечеринку в тогах, да?
q0019  01:14.7-01:16.2  Нехилая туса, Флорайда там будет.
q0020  01:16.3-01:17.0  Любишь Флорайду?
q0021  01:17.2-01:18.0  Весело, наверное.
q0022  01:18.2-01:19.0  Я бывал на разных...
q0023  01:19.0-01:19.7  Видишь гитару?
q0024  01:20.3-01:22.6  Сергей и Ларри из Гугла на ней расписались.
q0025  01:23.3-01:23.7  Оба.
q0026  01:24.2-01:25.0  Вот тут.
q0027  01:25.0-01:30.3  Итак, беги и дудочник.
q0028  01:31.2-01:33.1  Один из компрессионных проектов Питера, да?
q0029  01:34.0-01:35.8  Один из? Их много?
q0030  01:36.4-01:38.2  Не особо. Шесть или восемь.
q0031  01:38.5-01:40.3  Ясно. А куда ему столько?
q0032  01:40.4-01:45.3  Морские черепахи кладут до хрена яиц, потому что почти весь выводок дохнет по пути к воде.
q0033  01:46.0-01:48.9  Питер хочет убедиться, что его бабло доедет до океана.
q0034  01:49.4-01:50.8  Но вы с ним, походу, спелись.
q0035  01:50.8-01:56.8  Остальные парни прекрасно умеют клацать по клавиатуре, но не рожна не смыслят в организации.
q0036  01:57.3-01:59.7  Даже не могут рассказать о своём видении компании.
q0037  02:00.1-02:01.7  Полные ебанашки.
q0038  02:02.4-02:04.8  У мозга два полушария, так?
q0039  02:05.2-02:06.8  Джобс и Возняк.
q0040  02:07.1-02:08.3  Инь и Янь.
q0041  02:09.0-02:10.9  А, только правильно, Инь.
q0042  02:11.6-02:12.1  Инь?
q0043  02:12.5-02:12.8  Да.
q0044  02:13.5-02:14.6  Типа Инь и Ян?
q0045  02:14.9-02:17.1  Нет, типа Инь и Янь.
q0046  02:17.6-02:19.3  Нет, Инь и Янь.
q0047  02:19.3-02:20.6  Это противоположности.
q0048  02:20.8-02:22.6  Ну, Пеги, дудочник, валяй.
q0049  02:22.9-02:23.4  Что это?
q0050  02:24.4-02:26.7  Сначала он был музыкальным приложением.
q0051  02:28.2-02:30.4  Да уж, жесть. Фу.
q0052  02:31.3-02:33.9  Но мы с тех пор продвинулись.
q0053  02:34.3-02:35.8  Опа. К чему?
q0054  02:36.1-02:39.3  Мы распространили алгоритм на широкий спектр данных.
q0055  02:39.4-02:41.6  Аудио, видео, мета-данные.
q0056  02:42.0-02:44.9  Правда, ещё не совсем. У нас пока проблемы с 3D-видео.
q0057  02:44.9-02:48.9  Видимо, пикселы меняют значение иначе, нежели в обычном...
q0058  02:50.8-03:01.1  Кремниевая долина
q0059  03:01.1-03:07.9  Ты глянь на блок-схему
q0060  03:07.9-03:10.5  Нет, банк фильтров входит в фильтр прогнозирования
q0061  03:10.5-03:13.5  Ты о чем вообще? Это сжатие без потерь
q0062  03:13.5-03:16.7  А, эй, башка, ты там был
q0063  03:16.7-03:19.7  Зачем Ричарду дискретное косинусное преобразование?
q0064  03:20.8-03:23.2  А, эээ...
q0065  03:23.2-03:24.5  Я не в курсе.
q0066  03:24.7-03:29.2  Ричард не пытался что-то объяснить, но я половину не понял и просто кивал и улыбался.
q0067  03:30.1-03:33.4  Но хотя бы принцип поискового робота объяснить сможешь?
q0068  03:38.1-03:41.1  Брат, ты хоть что-нибудь в этом смыслишь?
q0069  03:46.8-03:48.3  Я ем рыбу.
q0070  03:48.4-03:50.0  Я понял, что ты ешь рыбу.
q0071  03:50.0-03:54.6  Но когда чистишь рыбу, не оставляй голову с кишками в раковине,
q0072  03:55.0-03:57.1  потому что в доме вонь, как в свинарнике.
q0073  03:57.6-04:00.8  Так что клади это дело в ведро и вынеси мусор.
q0074  04:02.0-04:02.5  Усёк?
q0075  04:03.7-04:05.5  Да, я ем рыбу.
q0076  04:05.9-04:07.0  Да ёб твою мать!
q0077  04:08.6-04:11.8  Знаете, как неловко не мочь описать собственную фирму?
q0078  04:12.1-04:14.3  Я создал пегово-дудочник, и все его видят,
q0079  04:14.5-04:17.9  но я не могу описать вам, что это, даже если в целом представляю, куда двигаться.
q0080  04:17.9-04:21.2  Ты же осознаешь, что мы бросили свои разработки ради тебя, да?
q0081  04:21.2-04:24.6  Хочется чего-то побольше, чем в целом представлять, куда двигаться.
q0082  04:24.8-04:26.8  Потому что именно в этом задача директора.
q0083  04:27.0-04:27.9  Я представляю.
q0084  04:28.6-04:28.9  В целом.
q0085  04:29.8-04:34.6  Это как пытаться объяснить кому-то дорогу, не зная точного адреса, да?
q0086  04:34.7-04:35.8  Как мы это делаем?
q0087  04:36.0-04:39.4  Нельзя сказать «иди до улицы Вязов 415», ты же не знаешь, что это, да?
q0088  04:39.6-04:43.6  И приходится говорить «идите прямо по большой дороге и сверните в правую странной штуке».
q0089  04:43.6-04:47.2  Но странную штуку описать не можешь, потому что в голове у тебя странная штука.
q0090  04:47.2-04:48.6  Ты её так представлял.
q0091  04:48.7-04:51.0  Это странная штука у тебя в голове, не а не в Ризма?
q0092  04:51.4-04:54.0  Ричард, давай-ка я резюмирую.
q0093  04:54.2-04:58.1  Ты отказался от 10 миллионов ради разработки чего-то,
q0094  04:58.3-05:02.2  что ты, как глава компании, не способен объяснить никому вокруг?
q0095  05:03.2-05:05.1  Я хотел тебя мотивировать.
q0096  05:06.9-05:14.0  Так, мне было велено исключить вас из списка сотрудников, назначенных на проект Ядро.
q0097  05:14.0-05:18.1  Вы перестанете получать сообщения, связанные с ядром,
q0098  05:18.3-05:21.5  а потеряете доступ к файлам и к собраниям ядра.
q0099  05:22.4-05:23.1  Есть вопросы?
q0100  05:24.4-05:27.1  Нет, всё довольно ясно.
q0101  05:27.5-05:28.2  Отлично.
q0102  05:29.3-05:31.1  Меня назначат на другой проект?
q0103  05:31.8-05:33.8  Насколько я знаю, нет.
q0104  05:34.5-05:35.8  На данный момент нет.
q0105  05:35.9-05:40.2  Так что, выходит, я уволен, но у меня же трёхлетний контракт с коллапционом.
q0106  05:40.4-05:43.2  Так, стоп, стоп, стоп, стоп, никто никого не уволил, ясно?
q0107  05:43.2-05:46.0  Контракт есть контракт, понятно?
q0108  05:46.3-05:48.8  У вас контракт, у меня контракт
q0109  05:48.8-05:51.4  У всех контракты
q0110  05:51.4-05:55.3  У нас в Куле контракт это железно
q0111  05:55.3-05:59.6  И ваш, и мой, и всех остальных
q0112  05:59.6-06:02.8  Так что я всё понятно объяснил?
q0113  06:03.2-06:04.9  Да нет, это понятно
q0114  06:04.9-06:10.5  Но когда я завтра приду на работу, что мне делать?
q0115  06:10.5-06:15.5  А вот это непонятно. На данный момент.
q0116  06:24.6-06:26.9  Зря я надел одни трусы и простыню.
q0117  06:27.7-06:29.6  Трусы? Слабак.
q0118  06:30.0-06:33.6  Да, я с ним. На таких вечерах яйца должны дышать.
q0119  06:36.0-06:38.6  О, пойду-ка я тоже трусы сниму.
q0120  06:38.6-06:41.4  Ричард, здравствуй, поздравляю.
q0121  06:42.2-06:46.2  Итак, Питер встретился сегодня с Лафламом и всё подписал.
q0122  06:46.5-06:49.2  Проекту Пегги и Дудочник дан официальный старт.
q0123  06:49.6-06:52.9  Почему мне никто не сказал, что Питер выбирал из кучи проектов?
q0124  06:53.1-06:53.4  Что?
q0125  06:55.1-06:57.3  Нет, тебе не зачем беспокоиться.
q0126  06:57.6-06:59.6  У всех прочих нет вашего видения.
q0127  07:00.6-07:01.3  Видения?
q0128  07:01.5-07:01.9  Именно.
q0129  07:13.2-07:14.7  Так что обсуждать смысла нет.
q0130  07:14.8-07:16.8  Хотя можно, я же директор.
q0131  07:17.3-07:19.5  Пегий Дудочник берёт данные и...
q0132  07:20.4-07:22.6  уменьшает поменьше.
q0133  07:23.0-07:24.9  Ну и ещё кое-что.
q0134  07:25.7-07:28.5  Он сжимает данные в целом.
q0135  07:28.6-07:29.9  Да, я прошу прощения.
q0136  07:30.1-07:30.6  До пятницы.
q0137  07:30.6-07:31.5  Привет, Том.
q0138  07:32.5-07:41.4  Ричард, придержи коней, а?
q0139  07:41.9-07:46.5  Жаль, что мы не в Древнем Риме, да?
q0140  07:46.5-07:48.3  Как все тогда было проще?
q0141  07:48.6-07:50.4  Тебе проще, а я был бы рабом.
q0142  07:50.8-07:52.0  Еще можешь успеть.
q0143  07:53.7-07:56.1  Классный костюм. Откуда он?
q0144  07:59.5-08:00.8  С кровати.
q0145  08:01.2-08:02.3  А вы смешной.
q0146  08:02.5-08:06.5  Я Брук, а это моя подруга Анастасия.
q0147  08:06.8-08:07.1  Привет.
q0148  08:08.6-08:09.2  Привет.
q0149  08:09.7-08:10.8  Че как, девчата?
q0150  08:11.1-08:14.8  А откуда вы знаете Питера Грегори?
q0151  08:14.8-08:15.4  С работы.
q0152  08:16.2-08:17.9  Мы актрисы.
q0153  08:18.9-08:21.4  Класс. И где вы играете?
q0154  08:21.8-08:23.0  О, да прямо здесь.
q0155  08:23.6-08:25.9  Нас берут на вечеринки оживлять обстановку,
q0156  08:26.4-08:29.4  общаться с гостями и проявлять к ним интерес.
q0157  08:29.4-08:36.0  О, мило. И много вас тут таких?
q0158  08:36.2-08:41.5  Полно. Все, кто красивее семерки, с нами, а все страшнее тройки, гости.
q0159  08:42.0-08:46.3  Забавная работенка. Плюс я хожу на работу со своим парнем.
q0160  08:49.8-08:52.4  Йоу-йоу, веселый народ, вы готовы пошалить?
q0161  08:52.7-08:53.8  Это что, Флоу Райда?
q0162  08:54.2-08:55.1  Без понятия.
q0163  08:55.1-08:58.0  Все готовы поднять тусу на новый уровень?
q0164  08:58.0-09:03.3  Встречайте настоящего клёвого перца, богатого управленца!
q0165  09:03.3-09:09.9  А ну похлопали все вместе моему братану, крутейшему, лютейшему римскому императору Питеру Грегори!
q0166  09:17.8-09:20.3  Это он крутейший, лютейший.
q0167  09:25.6-09:27.5  Большой Пит Грегори!
q0168  09:28.0-09:36.6  Спасибо, Флорида.
q0169  09:37.8-09:43.9  Добро пожаловать на четвертую ежегодную благотворительную оргию Питера Грегори.
q0170  09:43.9-09:47.2  Первые три вышли ничего.
q0171  09:48.5-09:51.4  Надеюсь, вам всем весело.
q0172  09:52.6-09:56.1  Там сзади есть еще один бар.
q0173  09:56.1-09:58.9  В нём короче очередь.
q0174  09:59.6-10:01.3  Спасибо, я кончил.
q0175  10:02.8-10:04.6  Какая внезапная речь.
q0176  10:12.1-10:14.0  Так это рэп-концерт?
q0177  10:14.3-10:14.7  Ага.
q0178  10:19.9-10:21.9  Ёбушки-воробушки, гадерлих.
q0179  10:23.4-10:25.2  Какого хуя он туда залез?
