q0001  00:00.0-00:30.0  Девушки отдыхают
q0002  00:30.0-00:35.3  Ричард!
q0003  00:36.7-00:38.9  Система поглощения готова к тестам.
q0004  00:39.1-00:39.9  Ричарда видел?
q0005  00:40.2-00:42.7  Он там. У него проблемы со своей системой поглощения.
q0006  00:43.0-00:44.7  До сих пор? Уже час прошел.
q0007  00:44.8-00:46.0  А кто заканчивать будет?
q0008  00:46.2-00:48.7  А, он там вместе снова там. На коленках.
q0009  00:50.3-00:51.1  Эй, Ричард!
q0010  00:51.8-00:53.7  Не разговаривай со мной, пока я в туалете.
q0011  00:54.4-00:55.5  Закругляйся, нам пора.
q0012  00:55.7-00:58.5  Знаю, но не говори, пока я здесь. Это странно.
q0013  00:58.5-00:59.8  Вот блин.
q0014  01:00.0-01:03.3  Джаред уже сутки как вернулся с острова, а туалетную бумагу так и не купил?
q0015  01:03.4-01:04.5  Вы издеваетесь?
q0016  01:05.0-01:05.7  Джаред там?
q0017  01:06.0-01:08.5  Ты велел мне с тобой не разговаривать, пока ты в туалете.
q0018  01:08.7-01:09.8  Как-нибудь определись уже.
q0019  01:09.9-01:12.2  А знаешь, отойди, пожалуйста, от двери.
q0020  01:12.6-01:14.1  Пятницу придут чистить бассейн.
q0021  01:14.2-01:14.7  Всё понятно?
q0022  01:14.9-01:15.2  Да.
q0023  01:15.3-01:18.0  Завтра вывозят мусор, так что выставь его за дверь.
q0024  01:18.6-01:19.1  Да.
q0025  01:19.5-01:20.0  Дальше.
q0026  01:20.2-01:23.7  Ни при каких обстоятельствах не заказывать фильмы.
q0027  01:24.0-01:25.3  Ни порно, ни прочее.
q0028  01:25.6-01:26.0  Да.
q0029  01:26.5-01:29.2  Так, тебе что-нибудь из моих слов осталось непонятным?
q0030  01:29.4-01:29.8  Да.
q0031  01:30.0-01:31.5  Ядрион батон!
q0032  01:32.3-01:34.7  Господи, Шар, ты что, весь гардероб везёшь?
q0033  01:35.0-01:36.3  Я профи, Динеш.
q0034  01:36.6-01:37.9  Извиняться не буду.
q0035  01:38.6-01:41.7  Я одеваюсь в соответствии с атмосферой помещения,
q0036  01:41.8-01:43.5  а значит, нужен запас.
q0037  01:43.8-01:45.2  Все готовы ехать?
q0038  01:46.0-01:48.5  Можем взять мою машину, но бензин за счёт фирмы.
q0039  01:50.3-01:50.7  Ау?
q0040  01:51.6-01:52.5  Что, все ушли?
q0041  01:53.4-01:53.9  Нет.
q0042  01:54.5-01:54.9  Что?
q0043  01:54.9-01:55.9  Эй!
q0044  01:55.9-02:00.6  Кремниевая долина
q0045  02:00.6-02:09.9  Как ты можешь смотреть по пути в экран?
q0046  02:10.1-02:11.2  Меня укачивает нахрен
q0047  02:11.2-02:13.1  Если не думать об этом, то всё нормально
q0048  02:13.1-02:14.7  К тому же завтра презентация
q0049  02:14.7-02:16.8  Значит, не надо думать об этом
q0050  02:16.8-02:21.2  Смотри себе в экран, пока машина едет, качается, а тебя тошнит
q0051  02:21.2-02:22.0  Вот, блин
q0052  02:22.0-02:24.0  Киллфойл
q0053  02:24.0-02:25.8  Вот, я ж говорил
q0054  02:25.8-02:27.1  Пиздобал.
q0055  02:33.7-02:36.3  Тех Кранч Дизрап. Битва стартапов.
q0056  02:38.3-02:42.6  Я немного выпал из процесса за четыре дня на острове, но у меня всё под контролем.
q0057  02:43.4-02:46.6  Так, давайте документы, я зарегистрирую...
q0058  02:46.6-02:50.6  Вот вы где. Держите бейджики и браслеты, и сегодня в четыре часа прогон.
q0059  02:51.5-02:52.2  Прогон?
q0060  02:52.4-02:54.3  Да, это вроде саундчека перед битвой.
q0061  02:54.3-02:56.6  Эй, да, но мы не в курсе.
q0062  02:57.2-02:58.7  Я вам не сказал про прогон?
q0063  02:60.0-03:01.2  Простите меня, пожалуйста.
q0064  03:01.5-03:02.4  Для этого я и здесь.
q0065  03:02.6-03:05.5  Питер на неделю уехал на сафари с Лорном Майклзом и Канью Уэстом,
q0066  03:05.8-03:07.7  так что я могу полностью сконцентрироваться на вас.
q0067  03:08.2-03:09.3  Простите, пожалуйста.
q0068  03:09.5-03:11.8  Я думал, что рассказал вам про прогон.
q0069  03:11.8-03:24.7  Господа, добро пожаловать на шоу.
q0070  03:24.9-03:27.0  Техгранч, сука, дизраб.
q0071  03:27.6-03:30.7  Так, ребята, не зевать по сторонам.
q0072  03:31.2-03:33.3  Обычно в мире технологий 2% женщин.
q0073  03:33.7-03:37.1  Парни, в ближайшие три дня 15%.
q0074  03:37.1-03:39.1  Да это прям мясной рынок.
q0075  03:39.1-03:40.3  Вы должны собраться.
q0076  03:40.3-03:43.7  От того, как мы себя проявим, зависит будущее компании.
q0077  03:44.2-03:45.2  Не облажайтесь.
q0078  03:45.8-03:50.0  Мы должны сразить их в завтрашнем отборе, чтобы в пятницу попасть в финал.
q0079  03:50.4-03:51.6  У меня вопросик.
q0080  03:51.8-03:54.8  В программке написано, что нас судит Дэн Мелчер.
q0081  03:55.0-03:56.4  А можно его как-то убрать?
q0082  03:56.9-03:58.8  Если только есть конфликт интересов.
q0083  03:59.0-04:00.1  Ну, типа того.
q0084  04:00.3-04:02.4  У меня была сексуальная связь с его женой.
q0085  04:04.2-04:04.5  Что?
q0086  04:05.0-04:06.1  Прошло три года.
q0087  04:06.4-04:08.7  Значит, один наш судья хочет тебя уебашить?
q0088  04:09.0-04:09.4  Возможно.
q0089  04:09.4-04:10.9  Можно, а может он и не в курсе.
q0090  04:11.2-04:14.3  Короче, Ричард, будешь выступать вместо меня, так что готовься.
q0091  04:14.6-04:16.6  Что, я? Выступать? Нет.
q0092  04:16.8-04:19.2  Всё обойдётся, обязательно обойдётся.
q0093  04:19.6-04:21.4  Ну, или нам полный пиздец.
q0094  04:22.0-04:23.4  В общем, надо выяснить.
q0095  04:24.0-04:26.2  Я на разведку, вы не со мной.
q0096  04:27.2-04:28.7  Я не хочу выступать.
q0097  04:28.8-04:30.7  Кроме того, у меня и демка не готова.
q0098  04:30.9-04:33.6  Так, Ричард, ты идёшь в гостиницу дописывать.
q0099  04:34.0-04:36.2  А, ты уже поселила нас в гостиницу?
q0100  04:36.3-04:37.0  Да, да.
q0101  04:37.0-04:42.8  Так, буду показывать модуль за модулем. Динеш, у тебя видеоплеер, так что начнём с тобой, ладно?
q0102  04:43.0-04:44.9  Так, а вы готовьте стенд, хорошо?
q0103  04:46.9-04:48.0  Кажется, он там.
q0104  04:48.2-04:48.7  Кажется?
q0105  04:53.1-04:54.7  Стопка флайров, это всё?
q0106  04:55.0-04:57.1  Да, кажется, всё.
q0107  04:57.6-05:01.8  Здравствуйте, как вас зовут? Зайдите на микродрон.ком
q0108  05:01.8-05:05.5  Ух ты, микродрон? Им дали 17 миллионов стартового капитала.
q0109  05:07.0-05:09.3  Здравствуйте.
q0110  05:09.5-05:10.9  Привет, прошу прощения.
q0111  05:11.2-05:14.0  Беги, дудочник, вы участвуете в битве стартапов, да?
q0112  05:14.4-05:18.6  Все кругом обсуждают ваш алгоритм компрессии, похоже, вы всех ошеломите.
q0113  05:19.3-05:19.8  Ага.
q0114  05:20.1-05:24.3  Короче, вы, наверное, спец по Джаве, а я не могу отловить досадный баг.
q0115  05:24.7-05:25.7  Можно вас попросить?
q0116  05:26.6-05:27.5  Я вернусь.
q0117  05:29.5-05:30.0  Спасибо.
q0118  05:30.0-05:35.3  Если подключать по модулю за два часа, должны уложиться Ричард за мной.
q0119  05:35.5-05:35.9  За мной.
q0120  05:36.0-05:36.4  За мной.
q0121  05:37.0-05:39.8  Ну ладно, жду в гостинице.
q0122  05:40.1-05:40.5  Давай.
q0123  05:40.8-05:41.7  Надеюсь, скоро.
q0124  05:44.4-05:45.3  Здорово, чувак.
q0125  05:45.6-05:46.9  Хотел пожелать удачи.
q0126  05:47.5-05:48.3  Ну и спасибо.
q0127  05:48.8-05:50.2  А как же всё...
q0128  05:50.2-05:52.0  Прости, мне нельзя с тобой говорить.
q0129  05:52.3-05:54.4  Сам понимаешь, тут повсюду народ из хули.
q0130  05:54.8-05:57.7  Я как-то втянулся в эту жизнь на расслабоне.
q0131  05:58.0-05:59.7  Знаешь, куда быстрее, чем думал.
q0132  06:00.5-06:02.3  Только не хочу раскачивать лодку.
q0133  06:02.6-06:03.8  А, кстати, о лодках.
q0134  06:03.9-06:05.1  Я яхту покупаю.
q0135  06:05.1-06:05.8  Надо же.
q0136  06:05.8-06:07.1  И нанимаю капитана.
q0137  06:07.5-06:08.7  Куда ж без капитана-то?
q0138  06:08.9-06:12.0  Ну да, куда ж без капитана, если есть яхта.
q0139  06:12.1-06:14.9  Эй, а ты знаешь вон ту девку?
q0140  06:15.3-06:16.7  Шерри вроде её зовут.
q0141  06:17.0-06:18.7  Говорит, вы вместе учились.
q0142  06:19.5-06:20.3  Точно, да.
q0143  06:20.5-06:22.3  Я её видел вчера на вечеринке в Элливэг.
q0144  06:22.5-06:23.9  Что, кстати, странно.
q0145  06:24.1-06:26.0  Там всего 12 девушек было.
q0146  06:26.4-06:27.2  Ёбышки-воробушка.
q0147  06:27.4-06:27.8  Во-во.
q0148  06:27.8-06:30.4  Короче, она сказала, вы когда-то встречались.
q0149  06:30.9-06:34.9  Потом она тебя бросила, и ты теперь на ней помешался.
q0150  06:35.1-06:35.4  Что?
q0151  06:35.8-06:38.2  Что? Говорит, я помешался?
q0152  06:38.5-06:39.6  Говорит, помешался.
q0153  06:40.0-06:42.9  Это брехня. Мы встретились пару раз.
q0154  06:43.2-06:45.3  Ну и всё. С чего же тут помешиваться-то?
q0155  06:45.7-06:47.2  Это ж... Нет вам хана!
q0156  06:47.6-06:49.6  Ядро побьёт левого трубочника!
q0157  06:50.0-06:52.8  Зря ты отказал моему корешу Гэвину Белсону.
q0158  06:54.9-06:56.0  Ну ладно.
q0159  07:27.3-07:32.6  И эта девка рассказывает всем, что я на ней помешался.
q0160  07:33.4-07:34.9  Не то чтобы меня это бесило.
q0161  07:35.2-07:37.8  Это всё прекрасно, но выкинь её из головы, ясно?
q0162  07:38.1-07:38.4  Да.
q0163  07:42.1-07:44.6  Но это же хуйня на постном масле.
q0164  07:45.0-07:46.1  Я её вообще едва помню.
q0165  07:46.4-07:49.4  Обидно, когда кто-то ходит и рассказывает про тебя небылицы, да?
q0166  07:50.6-07:52.6  Интересно, с кем она работает?
q0167  07:53.1-07:54.4  В смысле, с кем она сюда приехала?
q0168  07:54.4-07:58.1  Если она рассказывает коллегам, то меня целая куча народу будет напрягать.
q0169  07:58.3-08:01.6  Ричард, тебя сейчас ничего не должно напрягать, кроме фегова дудочника.
q0170  08:01.8-08:02.4  Да, я знаю.
q0171  08:02.5-08:04.7  Потому что у нас меньше суток до дворочного тура.
q0172  08:05.0-08:06.3  А никто и не напрягался.
q0173  08:06.6-08:07.1  Прекрасно.
q0174  08:07.3-08:07.8  Прекрасно.
q0175  08:12.2-08:13.2  Так, вот.
q0176  08:14.5-08:17.0  Это она говорит, что я помешался, Кенеш, помешался.
q0177  08:17.1-08:18.4  Ричард, мне насрать.
q0178  08:19.5-08:20.3  И мне тоже.
q0179  08:21.2-08:22.1  И это главное.
q0180  08:24.4-08:27.6  Только быстренько проверю её инстаграм.
q0181  08:27.8-08:30.2  Вдруг она там пишет в комментах, что я помешался.
q0182  08:30.7-08:31.9  Не могу же я закрыть глаза?
q0183  08:35.5-08:39.2  Вас бы заинтересовало устройство, которое подключается к смартфону
q0184  08:39.2-08:42.5  и заранее определяет приступ панической атаки или инфаркта.
q0185  08:42.6-08:43.1  Да, да.
q0186  08:43.1-08:44.9  Так, вот как работает паника тех.
q0187  08:45.0-08:47.1  Это носите весь день на пальце, там стоят датчики.
q0188  08:47.5-08:50.5  Или, если это вас смущает, есть анальные свечи с блютусом.
q0189  08:50.9-08:52.6  Вставляются туда, куда вы подумали.
q0190  08:52.6-08:54.6  К ним прилагается набор для извлечения.
q0191  08:54.8-08:57.3  А это было типа, бро, ты мой бро.
q0192  08:58.2-09:04.4  Или скорее я прострелю тебе в башку и забрызгаю твоей кровью всю сцену, потому что ты трахал мою жену, мудила.
q0193  09:05.0-09:06.6  Нечто среднее. Скорее...
q0194  09:08.8-09:12.4  Что стряслось? Как он там в гостинице?
q0195  09:12.6-09:15.9  Странно. Он перешел к извлечению метаданных и зовет тебя.
q0196  09:17.0-09:18.4  Метаданных? Уже?
q0197  09:19.1-09:20.2  Что за бред?
q0198  09:20.2-09:21.7  У него встревоженный вид.
q0199  09:22.6-09:31.0  Так, ребят, раз уж мы вступили в игру, я раздобыл секретное оружие.
q0200  09:31.3-09:38.6  Я пролистал полный список участников, нашёл их фотки и биографии, всё распечатал, и теперь у нас всё в одном месте.
q0201  09:38.6-09:39.9  И нафига нам это...
q0202  09:39.9-09:42.5  А, так, кто этот мужик?
q0203  09:42.8-09:45.6  Смотри, это...
q0204  09:45.6-09:49.6  Рик Шмидт, сооснователь Кроск Атвенчурс.
q0205  09:49.6-09:50.9  Как ты...
q0206  09:50.9-09:54.5  Резкий паспорт. Прога с распознаванием лиц. Моника нам поставила.
q0207  09:54.9-09:58.7  Наводишь на любого и читаешь, кто это и насколько он важен для конференции.
q0208  10:01.0-10:03.3  Хе, тебя вообще не находят.
q0209  10:03.8-10:05.5  Да, может, сигнала нет?
q0210  10:05.6-10:06.8  А, нет, сигнал есть.
q0211  10:08.5-10:10.6  Ладно. Что ж...
q0212  10:12.2-10:15.0  Джаред, Джаред, урна вон там.
q0213  10:16.0-10:18.2  Ну, как дела? Судья в курсе или нет?
q0214  10:18.2-10:20.2  Не знаю, Моника, он водит меня за нос.
q0215  10:21.5-10:24.1  А, может и нет. Я нихуя не разберу.
q0216  10:24.4-10:27.1  Эрлик, прекрати это всё. Он здесь с женой.
q0217  10:27.4-10:29.3  Отрасти яйца и спроси её, выясни всё.
q0218  10:29.6-10:32.3  Давай ты отрастишь яйца, и я всё выясню.
q0219  10:34.0-10:34.5  Что?
q0220  10:36.7-10:37.2  Привет.
q0221  10:42.1-10:43.9  Ты случайно Джаву не знаешь?
q0222  10:44.6-10:46.5  Ты шутишь? Я по ней специалист.
q0223  10:47.0-10:47.8  Не поможешь.
q0224  10:48.2-10:52.1  Ну, пачка, что за часть?
q0225  11:11.4-11:12.1  Да.
q0226  11:12.6-11:16.0  О, простите, я, кажется, ошибся номером.
q0227  11:16.4-11:17.6  Я ищу Дэна Мелчера.
q0228  11:17.6-11:18.6  Да, это мы.
q0229  11:18.8-11:19.9  Правда? Хорошо.
q0230  11:20.3-11:22.1  Мне нужно поговорить с его женой.
q0231  11:22.8-11:25.7  Это я. Я его новая жена.
q0232  11:25.9-11:26.9  Мы недавно поженились.
q0233  11:26.9-11:28.3  А, поздравляю.
q0234  11:29.6-11:31.7  А что случилось с Мэдлин?
q0235  11:32.6-11:33.9  Вы друг Дэна?
q0236  11:34.3-11:36.6  Да, у нас общий интерес.
q0237  11:37.2-11:38.8  Много общих интересов.
q0238  11:39.1-11:39.6  Ясно.
q0239  11:39.8-11:41.1  Она была жуткой женой.
q0240  11:41.9-11:43.9  Таблетки, реабилитация,
q0241  11:44.6-11:46.4  куча мерзких любовников,
q0242  11:47.0-11:49.0  Развод дался Дэну очень нелегко.
q0243  11:49.1-11:49.6  Правда?
q0244  11:50.2-11:51.6  Мерзких любовников?
q0245  11:52.9-11:54.5  Ну что ж, сочувствую.
q0246  11:54.8-11:55.8  Нет, все хорошо.
q0247  11:56.5-11:57.5  Что было, то прошло.
q0248  11:58.0-11:58.7  Все прошло?
q0249  11:59.3-12:00.6  Все до самых мелочей?
q0250  12:00.8-12:01.1  Угу.
q0251  12:02.1-12:04.6  Ну что ж, приятно слышать.
q0252  12:05.8-12:08.4  Что если она растрезвонит об этом на всю конференцию?
q0253  12:08.4-12:09.6  Я серьезно, Гилфэйл.
q0254  12:09.8-12:11.6  Ричард, хватит об этом.
q0255  12:11.8-12:13.7  А не то я заеду тебе в морду.
q0256  12:14.8-12:15.5  Ебать.
q0257  12:15.5-12:18.0  Вот это зал.
q0258  12:19.1-12:21.4  Очень-очень огромный.
q0259  12:21.7-12:23.5  Проверка. Раз, два, два.
q0260  12:24.0-12:25.9  Муха-цеце. Муха-цеце.
q0261  12:25.9-12:27.3  Эй, как презентация?
q0262  12:27.8-12:31.1  Почти готова. Определенно почти готова.
q0263  12:32.0-12:33.6  Господа, добрые вести.
q0264  12:34.1-12:41.3  Выяснилось, что Мелчер развелся, снова женился и все прошлое полностью оставил позади.
q0265  12:42.0-12:43.2  Вопрос решен.
q0266  12:43.6-12:44.4  Здорово.
q0267  12:44.4-12:47.5  Еще как, Ричард. Ты чертовски прав.
q0268  12:49.2-12:50.9  Бедное мудачье.
q0269  12:51.3-12:53.4  Они не подозревают, что их раздавит.
q0270  12:54.0-12:55.4  Молот Бога.
q0271  12:56.4-12:58.2  Прошу прощения, прошу прощения.
q0272  12:58.4-13:00.0  Я думал, вы за мной зайдете и...
q0273  13:00.0-13:01.0  Извините.
q0274  13:01.3-13:02.9  Стоп, Джаред, ты что тут делаешь?
q0275  13:03.0-13:03.3  Что?
q0276  13:03.5-13:04.9  А кто следит за стендом?
q0277  13:05.1-13:06.6  Я думал, может, Моника?
q0278  13:06.8-13:08.2  Она не наш работник.
q0279  13:08.2-13:10.0  И она нужна здесь. Такие дела.
q0280  13:10.1-13:12.5  Так, народ, прогон только для причастных.
q0281  13:12.6-13:13.8  Только для причастных.
q0282  13:14.4-13:19.2  Кто-то должен сидеть в модуле.
q0283  13:19.5-13:20.0  Точно.
q0284  13:20.4-13:21.7  Ты причастен к модулю.
q0285  13:22.0-13:22.4  Точно.
q0286  13:23.7-13:27.0  Итак, у каждой команды 6 минут на презентацию и демку.
q0287  13:27.3-13:29.3  Затем судьи зададут пару вопросов.
q0288  13:29.5-13:31.1  Простите, а можно задать один вопрос?
q0289  13:31.5-13:35.5  Судьи могут отправить нас в финал сразу после презентации?
q0290  13:35.5-13:40.0  Или придется ждать, пока все не пройдут?
q0291  13:41.1-13:43.7  Что, я выразил, о чем все подумали.
q0292  13:44.4-13:49.8  Здравствуйте, как вас зовут?
q0293  13:50.2-13:52.7  Зайдите на микротрон.ком
q0294  13:52.7-13:53.7  Простите, не надо.
q0295  13:53.7-13:55.6  Скачайте ваше бесплатное видео.
q0296  13:56.0-13:56.8  Нет, спасибо.
q0297  14:09.8-14:10.2  Итак.
q0298  14:11.0-14:13.6  Так, вот что мне надо. Как только пойдёт музыка...
q0299  14:13.6-14:14.0  Музыка?
q0300  14:14.2-14:15.9  Высветите меня лучом света. Бам!
q0301  14:16.2-14:20.7  Ярким лучом. Даже так, у вас есть прожекторы, которые поднимаются снизу?
q0302  14:20.9-14:22.2  Как в боях Прайда?
q0303  14:22.4-14:23.3  Могу узнать.
q0304  14:23.3-14:26.8  Так, два по бокам с каждой стороны и один в центре.
q0305  14:26.8-14:28.4  Чтобы моя тень была сзади.
q0306  14:29.0-14:31.2  Гигант смотрит через собственное плечо.
q0307  14:31.4-14:32.5  А вентиляторы есть?
q0308  14:32.8-14:34.3  Нужны две штуки.
q0309  14:34.4-14:35.7  Ты напиваешь под нос?
q0310  14:36.2-14:37.5  Да, разве?
q0311  14:39.9-14:44.1  Вообще, честно говоря, я, похоже, встретил идеальную женщину.
q0312  14:44.2-14:46.0  Ух ты, что? Кого, кого?
q0313  14:46.2-14:48.1  Она из соседнего модуля, Шарлотта.
q0314  14:48.4-14:50.1  Физически она не совсем мой тип.
q0315  14:50.3-14:53.6  Блондинка, вся в дурацком розовом и не стремится доминировать.
q0316  14:53.6-14:56.7  Но я всё равно, кажется, влюбился.
q0317  14:56.8-14:57.8  Опа!
q0318  14:58.9-15:02.2  Она пригласила вечером в номер посмотреть «Облачный атлас».
q0319  15:02.2-15:04.4  О да, это всё равно, что раздвинуть ноги.
q0320  15:04.9-15:05.9  Что, так явно?
q0321  15:06.0-15:08.3  Никто не высадит этот фильм дольше минуты.
q0322  15:08.6-15:09.6  И как она?
q0323  15:10.1-15:10.6  Сексуальная?
q0324  15:10.8-15:13.9  Да, она симпатичная, но женщины почти все симпатичные.
q0325  15:14.4-15:15.7  Она ещё и умная.
q0326  15:16.1-15:17.9  Она написала такой джава-метод,
q0327  15:18.1-15:20.4  прекрасней которого я в жизни ничего не видел.
q0328  15:21.0-15:22.6  Элегантный, лаконичный.
q0329  15:23.2-15:26.5  Есть особая сексуальность в девушке, которая умеет так ходить.
q0330  15:26.8-15:29.8  Хотел бы я добраться до её лобной доли.
q0331  15:30.9-15:31.8  Что такое?
q0332  15:32.7-15:34.8  Ты в курсе, что это я написал?
q0333  15:35.1-15:37.5  Нет, это код с её компьютера.
q0334  15:37.9-15:41.3  Раздолбанный 15-дюймовый MacBook Pro с дурацкими наклейками?
q0335  15:41.6-15:44.1  У всех тут раздолбанные 15-дюймовые MacBook'и.
q0336  15:44.3-15:46.7  Чип 1.3 и только 2 гига оперативки?
q0337  15:46.7-15:48.0  Она не знает Java.
q0338  15:48.7-15:50.7  Это я и написал.
q0339  15:50.7-15:52.3  Ты сказал, что влюбился в её ум.
q0340  15:52.4-15:53.7  Вот, блядь.
q0341  15:53.8-15:55.5  Ты понимаешь, что происходит, да?
q0342  15:56.2-15:59.4  У тебя встал не на неё, а на мою программу.
q0343  15:59.7-16:00.1  Завали.
q0344  16:00.4-16:03.2  Это самая омерзительная хуйня, которую я когда-либо...
q0345  16:03.2-16:05.7  Признай, Динеш, тебя тянет на кот мужика.
q0346  16:05.8-16:06.9  Ты программный гей.
q0347  16:07.0-16:08.3  Нет, нет, я её люблю.
q0348  16:08.6-16:09.2  Её, ясно.
q0349  16:09.4-16:10.3  И ебал я твой кот.
q0350  16:10.5-16:11.9  Хочешь ебать мой кот, значит?
q0351  16:11.9-16:13.6  Я только что функцию написал.
q0352  16:13.7-16:14.8  Не хочешь подрочить на неё?
q0353  16:15.1-16:16.6  Нет, это я...
q0354  16:16.6-16:17.2  Я...
q0355  16:17.2-16:19.6  Я заканчиваю речь вот тут, в центре.
q0356  16:19.6-16:21.5  С уверенностью и самообладанием,
q0357  16:21.7-16:24.0  каких они доселе и не видели.
q0358  16:24.0-16:28.4  И в этот момент проецируем наши фотки на большой экран.
q0359  16:28.9-16:29.4  Фотки?
q0360  16:29.6-16:31.2  Да, пару штук.
q0361  16:31.6-16:34.5  Ганди, Мартин Лютер Кинг и я в детстве познаю мир.
q0362  16:34.7-16:35.7  Ричард, будь добр.
q0363  16:36.0-16:38.3  Да, прошу прощения, сейчас подключу.
q0364  16:40.5-16:42.5  Нет, не надо, не надо.
q0365  16:42.9-16:43.5  Вот, блин.
q0366  16:43.6-16:44.4  Что за херня?
q0367  16:45.8-16:46.9  А, она здесь.
q0368  16:49.4-16:51.7  Вот, черт, зависла, зависла.
q0369  16:51.7-16:53.8  Это не я, стопудово.
q0370  16:54.0-16:55.8  Он нам не помешался. Простите.
q0371  17:07.3-17:09.3  Эй, ты... чего?
q0372  17:11.7-17:15.1  Я немного нервничаю. Ты такая красивая.
q0373  17:17.5-17:18.9  Вопрос не в тему.
q0374  17:19.8-17:22.1  Так ты, значит, не пишешь на Джави?
q0375  17:22.1-17:26.4  А-а. Зато я пишу в Твиттере, у нас штук 200 фолловер.
q0376  17:27.4-17:29.0  Штук 200?
q0377  17:31.1-17:33.5  А, давай уберу.
q0378  17:41.4-17:43.6  А, это кот твоего приятеля.
q0379  17:43.6-17:44.2  Да, верно.
q0380  17:44.3-17:45.1  Хороший кот, да?
q0381  17:45.6-17:46.2  Ничего.
q0382  17:47.6-17:48.5  Хватит о нём.
q0383  17:52.1-17:53.5  Ну, смотри-ка.
q0384  17:57.1-17:58.0  Ах, бля.
q0385  18:00.0-18:02.3  Так, соберись, соберись.
q0386  18:13.3-18:16.3  Шерри Калдвилл зачекинилась в баре отеля Омни.
q0387  18:16.3-18:23.4  Ричард не успеет доделать, да ведь?
q0388  18:23.6-18:25.4  Успеет, Гилфилл. Обязан.
q0389  18:27.9-18:29.1  Ты в порядке?
